sheet_name,row_number,series_label,period,value,variable
Summary 3,44,TOTAL Per cent,2013-Q3,2.003,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2013-Q4,1.914,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2014-Q1,1.867,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2014-Q2,1.769,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2014-Q3,1.697,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2014-Q4,1.631,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2015-Q1,1.577,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2015-Q2,1.572,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2015-Q3,1.494,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2015-Q4,1.471,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2016-Q1,1.507,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2016-Q2,1.589,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2016-Q3,1.576,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2016-Q4,1.569,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2017-Q1,1.513,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2017-Q2,1.462,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2017-Q3,1.422,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2017-Q4,1.4,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2018-Q1,1.375,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2018-Q2,1.367,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2018-Q3,1.378,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2018-Q4,1.366,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2019-Q1,1.357,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2019-Q2,1.344,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2019-Q3,1.29,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2019-Q4,1.27,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2020-Q1,1.286,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2020-Q2,1.281,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2020-Q3,1.255,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2020-Q4,1.274,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2021-Q1,1.273,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2021-Q2,1.225,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2021-Q3,1.184,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2021-Q4,1.156,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2022-Q1,1.145,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2022-Q2,1.137,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2022-Q3,1.108,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2022-Q4,1.146,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2023-Q1,1.189,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2023-Q2,1.265,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2023-Q3,1.383,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2023-Q4,1.469,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2024-Q1,1.491,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2024-Q2,1.498,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2024-Q3,1.477,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2024-Q4,1.459,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2025-Q1,1.447,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2025-Q2,1.427,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2025-Q3,1.377,total_arrears_rate_pct
Summary 3,44,TOTAL Per cent,2025-Q4,1.373,total_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2007-Q1,1.13,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2007-Q2,1.138,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2007-Q3,1.173,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2007-Q4,1.24,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2008-Q1,1.291,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2008-Q2,1.346,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2008-Q3,1.493,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2008-Q4,1.673,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2009-Q1,1.837,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2009-Q2,1.84,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2009-Q3,1.813,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2009-Q4,1.747,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2010-Q1,1.72,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2010-Q2,1.683,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2010-Q3,1.647,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2010-Q4,1.659,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2011-Q1,1.643,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2011-Q2,1.619,serious_arrears_rate_pct
